Regional Credibility Measure,Sample Size Indicator,Precision Indicator,Relative Abundance Indicator,AOU Number,Region Code,Ebird Analysis,Species Name,Region,Sample Size,Long-term Trend (1966-2015),Annual Trend (1966-2015),Lower CI,Upper CI,LT Precision,10 yr Trend (2005-2015),Annual Trend (2005-2015),Lower CI,Upper CI,10-yr Precision,Relative Abundance ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
G,G,G,G,5920,SUR,0,Abert's Towhee,Survey-wide,36,107.41,1.5,-0.32,3.33,1.82,9.37,0.9,-3.45,4.25,4.35,1.05,100,100.9,101.8081,102.7243729,103.6488923,104.5817323,105.5229679,106.4726746,107.4309287,108.397807,109.3733873,9.37
G,G,G,G,4650,SUR,1,Acadian Flycatcher,Survey-wide,1288,-11.98,-0.26,-0.51,0.01,0.25,2.73,0.27,-0.28,0.91,0.55,2,100,100.27,100.540729,100.812189,101.0843819,101.3573097,101.6309744,101.9053781,102.1805226,102.45641,102.7330423,2.73
G,G,G,G,4070,SUR,0,Acorn Woodpecker,Survey-wide,199,37.36,0.65,0.06,1.23,0.59,38.22,3.29,1.68,5.03,1.61,16.77,100,103.29,106.688241,110.1982841,113.8238077,117.5686109,121.4366182,125.431883,129.5585919,133.8210696,138.2237828,38.22
G,G,G,G,34660,SUR,0,Alder & Willow Flycatcher,Survey-wide,2539,-37.67,-0.96,-1.53,-0.46,0.57,-0.9,-0.09,-1.14,0.9,1.05,9.59,100,99.91,99.820081,99.73024293,99.64048571,99.55080927,99.46121354,99.37169845,99.28226392,99.19290988,99.10363627,-0.9
G,G,G,G,4661,SUR,0,Alder Flycatcher,Survey-wide,1381,-35.47,-0.89,-1.52,-0.29,0.63,0.7,0.07,-1.03,1.23,1.1,14.77,100,100.07,100.140049,100.210147,100.2802941,100.3504903,100.4207357,100.4910302,100.5613739,100.6317669,100.7022091,0.7
G,G,G,G,4340,SUR,0,Allen's Hummingbird,Survey-wide,57,-86.26,-3.97,-5.44,-2.57,1.47,-34.27,-4.11,-6.95,-1.58,2.84,2.05,100,95.89,91.948921,88.16982035,84.54604073,81.07119846,77.7391722,74.54409222,71.48033003,68.54248847,65.72539219,-34.27
G,G,G,G,2250,SUR,0,American Avocet,Survey-wide,461,-14.11,-0.31,-2.97,1.64,2.66,37.69,3.25,0.05,10.66,3.2,1.89,100,103.25,106.605625,110.0703078,113.6475928,117.3411396,121.1547266,125.0922552,129.1577535,133.3553805,137.6894304,37.69
Y,G,G,Y,1900,SUR,0,American Bittern,Survey-wide,1112,-22.54,-0.52,-2.22,0.41,1.7,6.69,0.65,-1.84,3.37,2.49,0.56,100,100.65,101.304225,101.9627025,102.62546,103.2925255,103.9639269,104.6396925,105.3198505,106.0044295,106.6934583,6.69
Y,G,G,Y,1330,SUR,0,American Black Duck,Survey-wide,548,-22.16,-0.51,-2.39,1.06,1.88,21.66,1.98,-2.4,7.84,4.38,0.29,100,101.98,103.999204,106.0583882,108.1583443,110.2998795,112.4838172,114.7109967,116.9822745,119.2985235,121.6606343,21.66
G,G,G,G,2210,SUR,0,American Coot,Survey-wide,1007,35.37,0.62,-2.29,2.19,2.91,160.08,10.03,4.9,15.95,5.13,6.59,100,110.03,121.066009,133.2089297,146.5697854,161.2707348,177.4461895,195.2440423,214.8270198,236.3741699,260.0824991,160.08
