SCI_NAME,Species,Sciname,SPECIES_CODE,PRIMARY_COM_NAME,USABLE,LiberEro
Empidonax_virescens,Acadian Flycatcher,Empidonax virescens,acafly,Acadian_Flycatcher,,1
Recurvirostra_americana,American Avocet,Recurvirostra americana,ameavo,American_Avocet,,0
Haematopus_palliatus,American Oystercatcher,Haematopus palliatus,ameoys,American_Oystercatcher,,0
Setophaga_ruticilla,American Redstart,Setophaga ruticilla,amered,American_Redstart,,1
Turdus_migratorius,American Robin,Turdus migratorius,amerob,American_Robin,,0
Scolopax_minor,American Woodcock,Scolopax minor,amewoo,American_Woodcock,,0
Pluvialis_dominica,American Golden-Plover,Pluvialis dominica,amgplo,American_Golden-Plover,,0
Spizelloides_arborea,American Tree Sparrow,Spizelloides arborea,amtspa,American_Tree_Sparrow,,0
Myiarchus_cinerascens,Ash-throated Flycatcher,Myiarchus cinerascens,astfly,Ash-throated_Flycatcher,,1
Setophaga_castanea,Bay-breasted Warbler,Setophaga castanea,babwar,Bay-breasted_Warbler,,1
Calidris_bairdii,Baird's Sandpiper,Calidris bairdii,baisan,Baird's_Sandpiper,,0
Icterus_galbula,Baltimore Oriole,Icterus galbula,balori,Baltimore_Oriole,,1
Riparia_riparia,Bank Swallow,Riparia riparia,banswa,Bank_Swallow,,1
Hirundo_rustica,Barn Swallow,Hirundo rustica,barswa,Barn_Swallow,,1
Limosa_lapponica,Bar-tailed Godwit,Limosa lapponica,batgod,Bar-tailed_Godwit,MAYBE,0
Mniotilta_varia,Black-and-white Warbler,Mniotilta varia,bawwar,Black-and-white_Warbler,,1
Vireo_bellii,Bell's Vireo,Vireo bellii,belvir,Bell's_Vireo,,1
Muscisaxicola_frontalis,Black-fronted Ground-Tyrant,Muscisaxicola frontalis,bfgtyr1,Black-fronted_Ground-Tyrant,MAYBE,0
Coccyzus_erythropthalmus,Black-billed Cuckoo,Coccyzus erythropthalmus,bkbcuc,Black-billed_Cuckoo,,1
Pluvialis_squatarola,Black-bellied Plover,Pluvialis squatarola,bkbplo,Black-bellied_Plover,,0
Setophaga_fusca,Blackburnian Warbler,Setophaga fusca,bkbwar,Blackburnian_Warbler,,1
Archilochus_alexandri,Black-chinned Hummingbird,Archilochus alexandri,bkchum,Black-chinned_Hummingbird,,1
Vireo_atricapilla,Black-capped Vireo,Vireo atricapilla,bkcvir1,Black-capped_Vireo,,1
Pheucticus_melanocephalus,Black-headed Grosbeak,Pheucticus melanocephalus,bkhgro,Black-headed_Grosbeak,,1
Himantopus_mexicanus,Black-necked Stilt,Himantopus mexicanus,bknsti,Black-necked_Stilt,,0
Setophaga_striata,Blackpoll Warbler,Setophaga striata,bkpwar,Blackpoll_Warbler,,1
Vireo_altiloquus,Black-whiskered Vireo,Vireo altiloquus,bkwvir,Black-whiskered_Vireo,,0
Haematopus_ater,Blackish Oystercatcher,Haematopus ater,blaoys1,Blackish_Oystercatcher,,0
Haematopus_bachmani,Black Oystercatcher,Haematopus bachmani,blkoys,Black_Oystercatcher,,0
