"bird","HF_change_NB","BBS_trend_1996_2015"
"Acadian.Flycatcher",0.769732730774552,-0.26
"American.Redstart",-0.271736354540989,-0.28
"Ash.throated.Flycatcher",0.0386542075703841,1.1
"Bay.breasted.Warbler",0.704637491573424,-0.25
"Baltimore.Oriole",-0.415973222037716,-1.49
"Bank.Swallow",0.702929129756359,-5.33
"Barn.Swallow",0.582839899056691,-1.19
"Black.and.white.Warbler",-0.376946090967355,-0.86
"Bell.s.Vireo",0.16066881921623,0.63
"Blackburnian.Warbler",0.651325355397024,0.35
"Black.chinned.Hummingbird",-0.114595441874643,1.29
"Black.capped.Vireo",-0.433689627414,NA
"Black.headed.Grosbeak",-0.0524235833258427,0.72
"Blackpoll.Warbler",0.463883497812432,-4.85
"Black.Swift",0.672664126906418,-6.6
"Blue.Grosbeak",-0.450274070858487,0.81
"Broad.tailed.Hummingbird",-0.159399877117254,-1.45
"Black.throated.Blue.Warbler",-0.855689611439759,1.95
"Black.throated.Green.Warbler",-0.622946520846001,0.35
"Black.throated.Gray.Warbler",-0.0922163898421173,-1.26
"Blue.gray.Gnatcatcher",-0.333670345237826,0.38
"Blue.headed.Vireo",-0.618204650582638,2.86
"Bullock.s.Oriole",-0.0260858390433487,-0.66
"Blue.winged.Warbler",-0.332107706323034,-0.7
"Calliope.Hummingbird",-1.09763207058504,-0.23
"Cape.May.Warbler",-0.815398197284483,-2.51
"Canada.Warbler",0.69695134671649,-2.05
"Cassin.s.Kingbird",0.230055714006838,0.19
"Cassin.s.Vireo",-0.181406964565509,1.08
"Cave.Swallow",-0.610616992263895,21.25
"Cerulean.Warbler",0.750520240575795,-2.63
"Chimney.Swift",-0.0527661036500739,-2.5
"Chestnut.sided.Warbler",0.341574414970929,-1.15
"Cliff.Swallow",0.305049392334696,0.72
"Common.Nighthawk",-1.41646223347291,-1.93
"Common.Yellowthroat",-0.445545919097551,-1.01
"Cordilleran.Flycatcher",-0.433934670977143,NA
"Dusky.Flycatcher",0.223667181808106,-0.6
"Eastern.Kingbird",0.672821515380906,-1.28
"Eastern.Wood.Pewee",0.29353388433224,-1.4
"Golden.cheeked.Warbler",-1.06573024111429,NA
"Golden.winged.Warbler",0.459403899043268,-2.28
"Grace.s.Warbler",-0.531759111850497,-1.5
"Great.Crested.Flycatcher",-0.0677488311019009,-0.03
"Gray.Catbird",-0.512104285813396,-0.01
"Gray.Vireo",0.416966035972898,2.1
"Gray.cheeked.Thrush",0.831314963578898,NA
"Hammond.s.Flycatcher",-0.0201817175919951,0.75
"Hepatic.Tanager",0.153487498184759,1.34
"Hermit.Warbler",-0.298962892263326,-0.05
"Hooded.Oriole",-0.153035687661197,0.51
"Hooded.Warbler",-0.556336430821736,1.36
"Indigo.Bunting",-0.750749591081787,-0.73
"Kentucky.Warbler",0.112123800910244,-0.9
"Lazuli.Bunting",0.269795106424308,0.21
"Least.Flycatcher",-0.911133795817137,-1.71
"Louisiana.Waterthrush",-0.215961423215216,0.6
"Lucy.s.Warbler",0.500821268049164,0.75
"MacGillivray.s.Warbler",-0.384213946321748,-1.66
"Magnolia.Warbler",-0.75111749281329,0.87
"Mourning.Warbler",0.822465626598316,-1.18
"Nashville.Warbler",-0.46936737396775,0.01
"Northern.Parula",-0.653443438167347,1.11
"Northern.Waterthrush",0.0123274421358822,1.19
"Northern.Rough.winged.Swallow",-0.325273911837474,-0.53
"Olive.sided.Flycatcher",0.553501354178387,-3.1
"Orchard.Oriole",-0.621834153981552,-0.87
